datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
4/12/1998 23:00,whitefish,mt,us,unknown,5400,90 minutes,Saw bright &quot;star&quot; that changed into red&#44 white&#44 and blue lights.  Emitted a beam of light in a horizontal sweep of the sky.  Darted hor,1/28/1999,48.4111111,-114.3366667
4/15/2007 23:30,park city,mt,us,unknown,300,4-5 minutes,Unknown object over rural country town.,4/27/2007,45.6327778,-108.9172222
4/16/1995 10:30,great falls,mt,us,oval,600,10 minutes,Metallic Oval hovers in broad daylight at Great Falls International Airport,3/19/2009,47.5002778,-111.3000000
4/16/1999 22:10,butte (approx 40 miles s. of&#44 on nb interstate 15),mt,us,light,900,15 min,Low flying red &amp; white light&#44 traveling from left to right&#44 which stopped mid air&#44 darted backward&#44 spun around and drift/darted around,10/12/2001,46.0038889,-112.5338889
4/16/2006 02:00,missoula,mt,us,light,300,5 minutes,A bright white light like I&#39ve never seen before,5/13/2012,46.8722222,-113.9930556
4/16/2013 22:00,townsend,mt,us,cigar,3600,1 hour,The first strange thing I noticed was three bright white lights in a row above our Elk Horn Mountains. I looked around the sky and I no,5/15/2013,46.3191667,-111.5200000
4/17/1992 23:45,billings,mt,us,disk,300,5 min,One Disk shaped object with many colored lights.,10/31/2003,45.7833333,-108.5000000
4/18/2001 21:00,lame deer,mt,us,disk,2700,35 to 45 minutes,Town sees ufo.,1/17/2004,45.6230556,-106.6661111
4/18/2010 20:00,missoula,mt,us,unknown,5,5 seconds,Single steady white light cruising&#44 then tears out into space having an orange glow behind it.,3/16/2012,46.8722222,-113.9930556
4/19/2008 01:20,kalispell,mt,us,triangle,1200,20 minutes,Two objects seen flying&#44 stopping&#44 and then dissipating.,6/12/2008,48.1958333,-114.3119444
4/20/1997 19:00,billings,mt,us,light,600,10 minutes,One arc light over billing montana.,12/20/2012,45.7833333,-108.5000000
4/20/2014 22:52,whitehall,mt,us,light,180,3 minutes,Out with dogs one really big bright light and 1 small light 2 min observation. The disappeared quickly.,4/24/2014,45.8708333,-112.0966667
4/23/2011 01:00,whitefish,mt,us,triangle,60,1 minute,Triangle ufo whitefish montana,5/29/2011,48.4111111,-114.3366667
4/24/2000 23:30,great falls,mt,us,unknown,300,3-5 minutes,Beam of light in field&#44 no visble object and no noise&#44 approximitely a mile or less away&#44,8/5/2012,47.5002778,-111.3000000
4/27/2014 00:32,kalispell,mt,us,sphere,5,5 seconds,Playing games and watching tv&#44 out of the corner of the eye and for a duration. Spotted a bright green orb moving very fast got outside,5/2/2014,48.1958333,-114.3119444
4/28/1996 01:30,kalispell,mt,us,,3,3 sec.,Four teenagers on hill see immense&#44 very bright ball of greenish-white light streak vert. down&#44 hit ground 20 miles (?) to SW. Silent.,11/2/1999,48.1958333,-114.3119444
4/3/2001 21:00,bigfork,mt,us,light,3,2 -3 seconds,Don&#39t know what this was. It looked like pictures of comets I have seen. The head of the light was large in the sky&#44 comparing it with,4/28/2001,48.0633333,-114.0716667
4/3/2014 20:20,billings,mt,us,light,60,1 minute,3 bright red lights over Billings&#44 Montana.,4/4/2014,45.7833333,-108.5000000
4/6/1996 22:07,billings,mt,us,,10,10 sec.,Man in hot tub sees 2 very bright objs. side by side streaking S to N&#44 both suddenly stop.  Joined by 3rd obj. from NW.  Streak off.,8/5/2001,45.7833333,-108.5000000
4/6/1999 22:50,columbia falls,mt,us,triangle,5,5 sec,Triangle&#44 approx 75 degree&#44 5 bluish lights-tip &amp; 2 each side&#44 NE to SW&#44 No Sound&#44 Fast&#44 Large.,4/26/1999,48.3725000,-114.1805556
4/7/2004 14:00,columbia falls,mt,us,light,240,3-4 minutes,A stationary light grew in brightness and then dimmed until it was not visible in the daytime sky.,4/9/2004,48.3725000,-114.1805556
4/7/2005 20:00,st. ignatius,mt,us,sphere,3,3 seconds,four to five&#44 silver/headlight like spheres&#44 leap frogging through the clouded sky above Mission Range MT.,4/16/2005,47.3200000,-114.0930556
5/10/2010 22:55,havre,mt,us,light,300,5 minutes,Saw Three Bright Lights,5/12/2010,48.5500000,-109.6833333
5/10/2010 22:55,havre,mt,us,light,300,5 minutes,Sonic Boom followed by 3 UFOs,5/12/2010,48.5500000,-109.6833333
5/10/2012 22:30,bozeman,mt,us,light,2,seconds,4 lights&#44 flying east&#44 unusual trajectory&#44 lasting only seconds. No sound.,5/13/2012,45.6797222,-111.0377778
5/1/1994 22:00,great falls,mt,us,sphere,300,about 5 minuts,Ghost like bright sphere wobleing and hovering and folwoing me,12/12/2011,47.5002778,-111.3000000
5/1/2004 02:00,butte,mt,us,triangle,120,2minutes,I was driving east from Continental Drive onto Farrell Street and I saw an aircraft I thought was a small plane.  I thought&#44 &quot;what kind,6/18/2004,46.0038889,-112.5338889
5/1/2004 23:30,helena,mt,us,triangle,240,4 min.,appx. 50&#39 triangular&#44 lighted craft hovering @ 100&#39&#44 then moving away proportionately as I approached.,5/10/2004,46.5927778,-112.0352778
5/1/2012 01:30,dayton,mt,us,unknown,120,2 minutes,Saw two UFO&#39s circle plane while watching northern lights.,11/20/2013,47.8658333,-114.2780556
5/12/2012 21:10,missoula,mt,us,sphere,5,5 seconds,Single ufo&#39s spotted within 2 days of one another in Missoula Montana,7/4/2012,46.8722222,-113.9930556
5/14/2012 23:00,missoula,mt,us,light,7,7 seconds,2nd UFO sighting in Missoula Mt. in the space of 2 days,7/4/2012,46.8722222,-113.9930556
5/14/2013 21:30,florence,mt,us,light,300,5 minutes,3 pulsating red lights crossing the valley.,6/2/2013,46.6316667,-114.0780556
5/16/2012 00:00,lozeau,mt,us,triangle,480,8 minutes,IT WAS MIDNIGHT&#44 AND MY NEIGHBOR WENT OUTSIDE TO PUT HIS DOGS IN THE KENNEL&#44 AND OBSERVED A BLACK TRIANULAR SHAPED CRAFT&#44 BELIEVED TO B,5/29/2012,47.1166667,-114.7791667
