date,timestamp,year,month,count
1970-10,1970-10-01T00:00:00Z,1970,Oct,9
1970-11,1970-11-01T00:00:00Z,1970,Nov,5
1970-12,1970-12-01T00:00:00Z,1970,Dec,5
1971-1,1971-01-01T00:00:00Z,1971,Jan,1
1971-2,1971-02-01T00:00:00Z,1971,Feb,6
1971-3,1971-03-01T00:00:00Z,1971,Mar,1
1971-4,1971-04-01T00:00:00Z,1971,April,8
1971-5,1971-05-01T00:00:00Z,1971,May,6
1971-6,1971-06-01T00:00:00Z,1971,June,22
1971-7,1971-07-01T00:00:00Z,1971,July,17
1971-8,1971-08-01T00:00:00Z,1971,Aug,9
1971-9,1971-09-01T00:00:00Z,1971,Sept,13
1971-10,1971-10-01T00:00:00Z,1971,Oct,10
1971-11,1971-11-01T00:00:00Z,1971,Nov,3
1971-12,1971-12-01T00:00:00Z,1971,Dec,1
1972-1,1972-01-01T00:00:00Z,1972,Jan,4
1972-2,1972-02-01T00:00:00Z,1972,Feb,1
1972-3,1972-03-01T00:00:00Z,1972,Mar,8
1972-4,1972-04-01T00:00:00Z,1972,April,2
1972-5,1972-05-01T00:00:00Z,1972,May,4
1972-6,1972-06-01T00:00:00Z,1972,June,38
1972-7,1972-07-01T00:00:00Z,1972,July,20
1972-8,1972-08-01T00:00:00Z,1972,Aug,16
1972-9,1972-09-01T00:00:00Z,1972,Sept,10
1972-10,1972-10-01T00:00:00Z,1972,Oct,8
1972-11,1972-11-01T00:00:00Z,1972,Nov,5
1972-12,1972-12-01T00:00:00Z,1972,Dec,3
1973-1,1973-01-01T00:00:00Z,1973,Jan,4
1973-2,1973-02-01T00:00:00Z,1973,Feb,4
1973-3,1973-03-01T00:00:00Z,1973,Mar,8
1973-4,1973-04-01T00:00:00Z,1973,April,7
1973-5,1973-05-01T00:00:00Z,1973,May,11
1973-6,1973-06-01T00:00:00Z,1973,June,37
1973-7,1973-07-01T00:00:00Z,1973,July,32
1973-8,1973-08-01T00:00:00Z,1973,Aug,21
1973-9,1973-09-01T00:00:00Z,1973,Sept,19
1973-10,1973-10-01T00:00:00Z,1973,Oct,32
1973-11,1973-11-01T00:00:00Z,1973,Nov,9
1973-12,1973-12-01T00:00:00Z,1973,Dec,4
1974-1,1974-01-01T00:00:00Z,1974,Jan,8
1974-2,1974-02-01T00:00:00Z,1974,Feb,4
1974-3,1974-03-01T00:00:00Z,1974,Mar,4
1974-4,1974-04-01T00:00:00Z,1974,April,11
1974-5,1974-05-01T00:00:00Z,1974,May,14
1974-6,1974-06-01T00:00:00Z,1974,June,54
1974-7,1974-07-01T00:00:00Z,1974,July,38
1974-8,1974-08-01T00:00:00Z,1974,Aug,31
1974-9,1974-09-01T00:00:00Z,1974,Sept,15
1974-10,1974-10-01T00:00:00Z,1974,Oct,22
1974-11,1974-11-01T00:00:00Z,1974,Nov,14
1974-12,1974-12-01T00:00:00Z,1974,Dec,4
1975-1,1975-01-01T00:00:00Z,1975,Jan,11
1975-2,1975-02-01T00:00:00Z,1975,Feb,2
1975-3,1975-03-01T00:00:00Z,1975,Mar,7
1975-4,1975-04-01T00:00:00Z,1975,April,12
1975-5,1975-05-01T00:00:00Z,1975,May,11
1975-6,1975-06-01T00:00:00Z,1975,June,71
1975-7,1975-07-01T00:00:00Z,1975,July,37
1975-8,1975-08-01T00:00:00Z,1975,Aug,32
1975-9,1975-09-01T00:00:00Z,1975,Sept,15
1975-10,1975-10-01T00:00:00Z,1975,Oct,22
1975-11,1975-11-01T00:00:00Z,1975,Nov,16
1975-12,1975-12-01T00:00:00Z,1975,Dec,11
1976-1,1976-01-01T00:00:00Z,1976,Jan,3
1976-2,1976-02-01T00:00:00Z,1976,Feb,7
1976-3,1976-03-01T00:00:00Z,1976,Mar,4
1976-4,1976-04-01T00:00:00Z,1976,April,6
1976-5,1976-05-01T00:00:00Z,1976,May,13
1976-6,1976-06-01T00:00:00Z,1976,June,73
1976-7,1976-07-01T00:00:00Z,1976,July,42
1976-8,1976-08-01T00:00:00Z,1976,Aug,23
1976-9,1976-09-01T00:00:00Z,1976,Sept,20
1976-10,1976-10-01T00:00:00Z,1976,Oct,16
1976-11,1976-11-01T00:00:00Z,1976,Nov,10
1976-12,1976-12-01T00:00:00Z,1976,Dec,5
1977-1,1977-01-01T00:00:00Z,1977,Jan,9
1977-2,1977-02-01T00:00:00Z,1977,Feb,1
1977-3,1977-03-01T00:00:00Z,1977,Mar,11
1977-4,1977-04-01T00:00:00Z,1977,April,10
1977-5,1977-05-01T00:00:00Z,1977,May,19
1977-6,1977-06-01T00:00:00Z,1977,June,51
1977-7,1977-07-01T00:00:00Z,1977,July,37
1977-8,1977-08-01T00:00:00Z,1977,Aug,23
1977-9,1977-09-01T00:00:00Z,1977,Sept,16
1977-10,1977-10-01T00:00:00Z,1977,Oct,10
1977-11,1977-11-01T00:00:00Z,1977,Nov,13
1977-12,1977-12-01T00:00:00Z,1977,Dec,6
1978-1,1978-01-01T00:00:00Z,1978,Jan,11
1978-2,1978-02-01T00:00:00Z,1978,Feb,6
1978-3,1978-03-01T00:00:00Z,1978,Mar,10
1978-4,1978-04-01T00:00:00Z,1978,April,11
1978-5,1978-05-01T00:00:00Z,1978,May,10
1978-6,1978-06-01T00:00:00Z,1978,June,55
1978-7,1978-07-01T00:00:00Z,1978,July,57
1978-8,1978-08-01T00:00:00Z,1978,Aug,41
1978-9,1978-09-01T00:00:00Z,1978,Sept,16
1978-10,1978-10-01T00:00:00Z,1978,Oct,19
1978-11,1978-11-01T00:00:00Z,1978,Nov,12
1978-12,1978-12-01T00:00:00Z,1978,Dec,10
1979-1,1979-01-01T00:00:00Z,1979,Jan,6
1979-2,1979-02-01T00:00:00Z,1979,Feb,8
1979-3,1979-03-01T00:00:00Z,1979,Mar,10
1979-4,1979-04-01T00:00:00Z,1979,April,12
1979-5,1979-05-01T00:00:00Z,1979,May,10
1979-6,1979-06-01T00:00:00Z,1979,June,43
1979-7,1979-07-01T00:00:00Z,1979,July,31
1979-8,1979-08-01T00:00:00Z,1979,Aug,19
1979-9,1979-09-01T00:00:00Z,1979,Sept,20
1979-10,1979-10-01T00:00:00Z,1979,Oct,14
1979-11,1979-11-01T00:00:00Z,1979,Nov,11
1979-12,1979-12-01T00:00:00Z,1979,Dec,7
1980-1,1980-01-01T00:00:00Z,1980,Jan,10
1980-2,1980-02-01T00:00:00Z,1980,Feb,3
